,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
127,2024-03-10,St. Gilloise,Gent,1.0,1.0,D,0.0,0.0,D,18.0,11.0,5.0,6.0,4.0,11.0,8.0,3.0,3.0,1.0,0.0,0.0
128,2024-03-10,Club Brugge,Oud-Heverlee Leuven,3.0,1.0,H,1.0,1.0,D,20.0,7.0,8.0,2.0,13.0,10.0,10.0,5.0,0.0,2.0,0.0,0.0
129,2024-03-10,Genk,Standard,1.0,0.0,H,0.0,0.0,D,19.0,6.0,5.0,4.0,6.0,11.0,7.0,5.0,0.0,2.0,0.0,0.0
130,2024-03-09,RWD Molenbeek,Anderlecht,0.0,3.0,A,0.0,3.0,A,10.0,11.0,2.0,5.0,11.0,9.0,4.0,3.0,3.0,1.0,0.0,0.0
131,2024-03-09,Charleroi,Cercle Brugge,0.0,0.0,D,0.0,0.0,D,6.0,11.0,2.0,2.0,15.0,17.0,2.0,8.0,1.0,1.0,0.0,1.0
132,2024-03-09,Kortrijk,Antwerp,0.0,1.0,A,0.0,1.0,A,3.0,15.0,1.0,5.0,9.0,10.0,3.0,10.0,0.0,1.0,0.0,0.0
133,2024-03-08,Mechelen,Westerlo,3.0,1.0,H,2.0,0.0,H,10.0,21.0,4.0,4.0,7.0,8.0,3.0,3.0,0.0,1.0,0.0,0.0
134,2024-03-03,Kortrijk,RWD Molenbeek,3.0,2.0,H,1.0,1.0,D,17.0,12.0,7.0,4.0,10.0,14.0,8.0,5.0,1.0,3.0,0.0,0.0
135,2024-03-03,Anderlecht,Eupen,1.0,0.0,H,1.0,0.0,H,14.0,15.0,5.0,3.0,12.0,20.0,8.0,4.0,2.0,1.0,0.0,0.0
136,2024-03-03,Antwerp,St Truiden,3.0,0.0,H,0.0,0.0,D,19.0,4.0,11.0,0.0,13.0,15.0,11.0,3.0,0.0,0.0,0.0,0.0
137,2024-03-03,Genk,Club Brugge,0.0,3.0,A,0.0,1.0,A,10.0,12.0,5.0,5.0,13.0,8.0,4.0,6.0,2.0,2.0,0.0,0.0
138,2024-03-02,Standard,Gent,4.0,2.0,H,1.0,1.0,D,19.0,11.0,7.0,7.0,13.0,10.0,9.0,5.0,3.0,1.0,0.0,1.0
139,2024-03-02,Oud-Heverlee Leuven,St. Gilloise,0.0,2.0,A,0.0,1.0,A,9.0,9.0,2.0,2.0,10.0,11.0,4.0,6.0,3.0,3.0,0.0,0.0
140,2024-03-02,Cercle Brugge,Mechelen,2.0,3.0,A,2.0,2.0,D,12.0,15.0,5.0,6.0,9.0,9.0,7.0,6.0,1.0,2.0,0.0,0.0
141,2024-03-01,Westerlo,Charleroi,0.0,1.0,A,0.0,0.0,D,15.0,7.0,3.0,1.0,11.0,12.0,5.0,1.0,1.0,4.0,0.0,0.0
142,2024-02-25,Eupen,Cercle Brugge,0.0,2.0,A,0.0,0.0,D,12.0,17.0,1.0,8.0,10.0,12.0,5.0,4.0,2.0,3.0,0.0,0.0
143,2024-02-25,St. Gilloise,Standard,2.0,1.0,H,2.0,0.0,H,12.0,8.0,7.0,4.0,9.0,17.0,5.0,4.0,1.0,3.0,0.0,0.0
144,2024-02-25,Gent,Antwerp,2.0,2.0,D,2.0,1.0,H,13.0,8.0,5.0,5.0,13.0,8.0,7.0,4.0,1.0,2.0,0.0,0.0
145,2024-02-25,Club Brugge,Anderlecht,1.0,2.0,A,1.0,0.0,H,16.0,11.0,6.0,6.0,14.0,16.0,5.0,3.0,0.0,4.0,0.0,0.0
146,2024-02-24,Mechelen,Kortrijk,3.0,0.0,H,1.0,0.0,H,9.0,11.0,4.0,1.0,2.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0
147,2024-02-24,St Truiden,Westerlo,1.0,0.0,H,1.0,0.0,H,15.0,12.0,3.0,3.0,9.0,11.0,8.0,2.0,1.0,1.0,0.0,0.0
148,2024-02-24,RWD Molenbeek,Oud-Heverlee Leuven,1.0,1.0,D,1.0,1.0,D,10.0,9.0,3.0,3.0,10.0,9.0,5.0,6.0,0.0,3.0,0.0,0.0
149,2024-02-23,Charleroi,Genk,0.0,1.0,A,0.0,0.0,D,6.0,19.0,4.0,7.0,14.0,13.0,3.0,6.0,2.0,2.0,0.0,0.0
150,2024-02-18,Eupen,Gent,0.0,2.0,A,0.0,1.0,A,4.0,8.0,3.0,4.0,18.0,14.0,4.0,3.0,3.0,1.0,0.0,0.0
