,Unnamed: 0,Home Full-T Goals,Away Full-T Goals,Home Half-T Goals,Away Half-T Goals,Home Shots,Away Shots,Home Shots Target,Away Shots Target,Home Fouls,Away Fouls,Home Corners,Away Corners,Home Yellow Cards,Away Yellow Cards,Home Red Cards,Away Red Cards,Full Result_enc,Half Result_enc,Home_avg5Goal,Away_avg5Goal,Home_avg10Goal,Away_avg10Goal,Home_avg20Goal,Away_avg20Goal,HomeTeamEnc,AwayTeamEnc
465,465,2.0,0.0,1.0,0.0,26.0,8.0,8.0,2.0,4.0,10.0,11.0,5.0,1.0,3.0,0.0,1.0,0,0.0,2.0,1.8,1.9,1.8,1.45,1.95,21,10
466,466,3.0,1.0,2.0,1.0,13.0,8.0,7.0,3.0,15.0,11.0,8.0,2.0,1.0,2.0,0.0,0.0,0,0.0,0.4,0.8,0.7,0.6,1.2,0.5,18,6
467,467,0.0,3.0,0.0,2.0,5.0,13.0,1.0,4.0,12.0,10.0,1.0,5.0,2.0,0.0,1.0,0.0,1,1.0,1.2,1.4,1.1,1.8,1.15,2.25,16,8
468,468,2.0,2.0,1.0,2.0,12.0,9.0,6.0,3.0,7.0,18.0,2.0,3.0,2.0,4.0,0.0,1.0,2,1.0,1.6,1.6,1.4,1.7,1.9,1.1,5,4
469,469,0.0,1.0,0.0,0.0,9.0,14.0,4.0,4.0,17.0,11.0,4.0,6.0,3.0,1.0,0.0,0.0,1,2.0,0.6,1.4,0.5,1.1,0.7,1.45,15,0
470,470,4.0,1.0,3.0,1.0,8.0,10.0,6.0,3.0,20.0,9.0,2.0,2.0,3.0,2.0,0.0,1.0,0,0.0,1.6,0.4,1.4,0.7,1.15,1.2,1,18
471,471,1.0,0.0,0.0,0.0,18.0,11.0,7.0,4.0,7.0,15.0,12.0,5.0,1.0,3.0,0.0,0.0,0,2.0,1.4,1.6,1.3,1.4,1.5,1.15,17,13
472,472,3.0,2.0,2.0,1.0,15.0,8.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,4.0,0.0,0.0,0,0.0,1.8,1.0,1.8,1.0,1.95,1.05,10,9
473,473,1.0,2.0,0.0,1.0,9.0,10.0,4.0,6.0,11.0,15.0,4.0,6.0,3.0,1.0,0.0,0.0,1,1.0,0.8,1.2,1.2,1.4,1.1,1.4,12,3
474,474,1.0,1.0,0.0,1.0,11.0,13.0,3.0,5.0,15.0,10.0,5.0,5.0,1.0,1.0,0.0,0.0,2,1.0,2.2,2.0,2.0,1.9,1.7,1.45,20,21
475,475,1.0,1.0,0.0,1.0,8.0,13.0,4.0,4.0,14.0,6.0,1.0,8.0,1.0,1.0,0.0,0.0,2,1.0,1.2,1.6,1.1,1.4,1.15,1.9,16,5
476,476,0.0,0.0,0.0,0.0,11.0,9.0,6.0,3.0,7.0,11.0,9.0,5.0,2.0,4.0,0.0,0.0,2,2.0,1.4,1.6,1.8,1.7,2.25,1.1,8,4
477,477,2.0,3.0,2.0,1.0,19.0,11.0,9.0,5.0,9.0,16.0,5.0,2.0,1.0,2.0,0.0,0.0,1,0.0,1.4,2.2,1.1,2.0,1.45,1.7,0,20
478,478,3.0,2.0,2.0,1.0,21.0,12.0,7.0,7.0,11.0,12.0,6.0,8.0,1.0,2.0,0.0,1.0,0,0.0,1.0,0.6,1.0,0.5,1.05,0.7,9,15
479,479,1.0,1.0,0.0,0.0,6.0,15.0,1.0,7.0,15.0,10.0,3.0,6.0,2.0,0.0,0.0,0.0,2,2.0,1.2,1.4,1.4,1.3,1.4,1.5,3,17
480,480,0.0,3.0,0.0,2.0,16.0,12.0,3.0,6.0,13.0,17.0,6.0,5.0,1.0,0.0,0.0,0.0,1,1.0,0.8,1.6,1.2,1.4,1.1,1.15,12,1
481,481,2.0,0.0,1.0,0.0,12.0,10.0,5.0,1.0,12.0,13.0,7.0,7.0,2.0,0.0,0.0,0.0,0,0.0,0.4,1.8,0.7,1.8,1.2,1.95,18,10
482,482,2.0,3.0,0.0,2.0,14.0,8.0,5.0,3.0,7.0,9.0,11.0,4.0,3.0,0.0,0.0,0.0,1,1.0,2.0,1.8,1.9,1.2,1.45,1.0,21,7
483,483,1.0,1.0,1.0,0.0,17.0,7.0,7.0,3.0,9.0,10.0,8.0,7.0,2.0,2.0,0.0,0.0,2,0.0,1.6,0.8,1.4,0.6,1.15,0.5,13,6
484,484,2.0,1.0,1.0,1.0,10.0,12.0,6.0,3.0,9.0,12.0,9.0,7.0,1.0,1.0,0.0,0.0,0,2.0,1.6,1.2,1.7,1.4,1.1,1.4,4,3
