week,date,time,home_team,away_team,home_team_score,away_team_score,home_team_logo,away_team_logo
Week 2,04/08,19:15,La Gantoise,FCV Dender EH,1,2,https://static.sportid.be/images/soccer/teams/aagent.png,https://static.sportid.be/images/soccer/teams/dender.png
Week 3,09/08,20:45,Standard,KV Malines,0,0,https://static.sportid.be/images/soccer/teams/standard.png,https://static.sportid.be/images/soccer/teams/kvmechelen.png
Week 3,10/08,16:00,FCV Dender EH,KV Courtrai,4,1,https://static.sportid.be/images/soccer/teams/dender.png,https://static.sportid.be/images/soccer/teams/kortrijk.png
Week 3,10/08,18:15,Westerlo,Union SG,4,3,https://static.sportid.be/images/soccer/teams/westerlo.png,https://static.sportid.be/images/soccer/teams/union_sg.png
Week 3,10/08,20:45,Anderlecht,OH Louvain,1,1,https://static.sportid.be/images/soccer/teams/anderlecht.png,https://static.sportid.be/images/soccer/teams/ohl.png
Week 3,11/08,13:30,KRC Genk,FC Bruges,3,2,https://static.sportid.be/images/soccer/teams/racinggenk.png,https://static.sportid.be/images/soccer/teams/clubbrugge.png
Week 3,11/08,16:00,Antwerp,STVV,6,1,https://static.sportid.be/images/soccer/teams/rafc_logo_01.png,https://static.sportid.be/images/soccer/teams/sinttruiden.png
Week 3,11/08,18:30,Charleroi,La Gantoise,1,0,https://static.sportid.be/images/soccer/teams/charleroi.png,https://static.sportid.be/images/soccer/teams/aagent.png
Week 3,11/08,19:15,Cercle de Bruges,Beerschot,4,1,https://static.sportid.be/images/soccer/teams/cercle_brugge.png,https://static.sportid.be/images/soccer/teams/beerschot.png
Week 4,16/08,20:45,Union SG,Charleroi,1,0,https://static.sportid.be/images/soccer/teams/union_sg.png,https://static.sportid.be/images/soccer/teams/charleroi.png
Week 4,17/08,16:00,Beerschot,KRC Genk,3,4,https://static.sportid.be/images/soccer/teams/beerschot.png,https://static.sportid.be/images/soccer/teams/racinggenk.png
Week 4,17/08,18:15,STVV,FCV Dender EH,3,3,https://static.sportid.be/images/soccer/teams/sinttruiden.png,https://static.sportid.be/images/soccer/teams/dender.png
Week 4,17/08,20:45,KV Malines,Anderlecht,1,3,https://static.sportid.be/images/soccer/teams/kvmechelen.png,https://static.sportid.be/images/soccer/teams/anderlecht.png
Week 4,18/08,13:30,FC Bruges,Antwerp,1,0,https://static.sportid.be/images/soccer/teams/clubbrugge.png,https://static.sportid.be/images/soccer/teams/rafc_logo_01.png
Week 4,18/08,16:00,OH Louvain,Cercle de Bruges,1,1,https://static.sportid.be/images/soccer/teams/ohl.png,https://static.sportid.be/images/soccer/teams/cercle_brugge.png
Week 4,18/08,18:30,KV Courtrai,Standard,1,0,https://static.sportid.be/images/soccer/teams/kortrijk.png,https://static.sportid.be/images/soccer/teams/standard.png
Week 4,18/08,19:15,La Gantoise,Westerlo,4,1,https://static.sportid.be/images/soccer/teams/aagent.png,https://static.sportid.be/images/soccer/teams/westerlo.png
Week 5,24/08,16:00,Cercle de Bruges,La Gantoise,,,https://static.sportid.be/images/soccer/teams/cercle_brugge.png,https://static.sportid.be/images/soccer/teams/aagent.png
Week 5,24/08,18:15,Anderlecht,KRC Genk,,,https://static.sportid.be/images/soccer/teams/anderlecht.png,https://static.sportid.be/images/soccer/teams/racinggenk.png
Week 5,24/08,18:15,Westerlo,OH Louvain,1,1,https://static.sportid.be/images/soccer/teams/westerlo.png,https://static.sportid.be/images/soccer/teams/ohl.png
Week 5,24/08,20:45,Antwerp,KV Malines,0,1,https://static.sportid.be/images/soccer/teams/rafc_logo_01.png,https://static.sportid.be/images/soccer/teams/kvmechelen.png
Week 5,25/08,13:30,FCV Dender EH,FC Bruges,1,2,https://static.sportid.be/images/soccer/teams/dender.png,https://static.sportid.be/images/soccer/teams/clubbrugge.png
Week 5,25/08,16:00,STVV,Union SG,0,0,https://static.sportid.be/images/soccer/teams/sinttruiden.png,https://static.sportid.be/images/soccer/teams/union_sg.png
Week 5,25/08,18:30,Standard,Beerschot,1,0,https://static.sportid.be/images/soccer/teams/standard.png,https://static.sportid.be/images/soccer/teams/beerschot.png
Week 5,25/08,19:15,Charleroi,KV Courtrai,1,0,https://static.sportid.be/images/soccer/teams/charleroi.png,https://static.sportid.be/images/soccer/teams/kortrijk.png
Week 6,30/08,20:45,KRC Genk,Westerlo,1,0,https://static.sportid.be/images/soccer/teams/racinggenk.png,https://static.sportid.be/images/soccer/teams/westerlo.png
Week 6,31/08,16:00,KV Malines,Charleroi,5,2,https://static.sportid.be/images/soccer/teams/kvmechelen.png,https://static.sportid.be/images/soccer/teams/charleroi.png
Week 6,31/08,18:15,Beerschot,FCV Dender EH,1,2,https://static.sportid.be/images/soccer/teams/beerschot.png,https://static.sportid.be/images/soccer/teams/dender.png
Week 6,31/08,20:45,OH Louvain,Standard,2,0,https://static.sportid.be/images/soccer/teams/ohl.png,https://static.sportid.be/images/soccer/teams/standard.png
Week 6,01/09,13:30,FC Bruges,Cercle de Bruges,3,0,https://static.sportid.be/images/soccer/teams/clubbrugge.png,https://static.sportid.be/images/soccer/teams/cercle_brugge.png
Week 6,01/09,16:00,La Gantoise,Antwerp,1,1,https://static.sportid.be/images/soccer/teams/aagent.png,https://static.sportid.be/images/soccer/teams/rafc_logo_01.png
Week 6,01/09,18:30,Union SG,Anderlecht,0,0,https://static.sportid.be/images/soccer/teams/union_sg.png,https://static.sportid.be/images/soccer/teams/anderlecht.png
Week 6,01/09,19:15,KV Courtrai,STVV,1,1,https://static.sportid.be/images/soccer/teams/kortrijk.png,https://static.sportid.be/images/soccer/teams/sinttruiden.png
Week 7,13/09,20:45,FCV Dender EH,Standard,,,https://static.sportid.be/images/soccer/teams/dender.png,https://static.sportid.be/images/soccer/teams/standard.png
Week 7,14/09,16:00,Cercle de Bruges,KRC Genk,,,https://static.sportid.be/images/soccer/teams/cercle_brugge.png,https://static.sportid.be/images/soccer/teams/racinggenk.png
Week 7,14/09,18:15,KV Courtrai,FC Bruges,,,https://static.sportid.be/images/soccer/teams/kortrijk.png,https://static.sportid.be/images/soccer/teams/clubbrugge.png
Week 7,14/09,20:45,Anderlecht,Westerlo,,,https://static.sportid.be/images/soccer/teams/anderlecht.png,https://static.sportid.be/images/soccer/teams/westerlo.png
